"x","y"
439.2865,93.71095
436.8564,93.14027
434.7503,92.81417
432.3203,92.2435
431.3482,90.36842
430.4572,88.57486
429.2422,87.35198
426.8121,88.81944
423.815,89.47164
421.628,90.36842
418.9549,90.04232
416.5248,88.81944
414.9858,87.92266
413.1227,88.81944
409.2346,88.81944
405.8326,87.35198
404.0505,85.803
402.5115,84.25403
401.2964,81.2376
401.9444,78.13964
401.9444,76.01998
401.2964,74.1449
400.5674,74.1449
397.8133,73.90033
396.0313,73.24813
395.0593,72.02525
393.6012,74.7971
390.5231,76.01998
387.5261,77.24286
384.124,77.81354
381.6939,77.56896
379.0208,78.13964
377.4818,78.46574
375.6187,79.03641
373.5127,79.36251
369.8676,79.36251
367.7615,77.24286
366.8705,75.36778
365.8985,73.24813
367.4375,71.69915
369.3006,70.80237
368.6525,69.00882
366.8705,66.56306
366.2225,69.25339
365.8985,71.12847
364.4404,73.90033
361.6864,76.01998
360.4713,77.24286
358.3653,79.68862
356.5022,80.9115
353.7481,82.70505
351.0751,84.25403
347.997,85.4769
346.5389,87.02588
344.1089,88.24876
342.0028,88.57486
338.9247,89.79774
336.8187,90.36842
335.2796,90.36842
333.8216,88.57486
331.0675,87.35198
328.3135,86.69978
326.2074,86.69978
324.3443,87.02588
322.8863,86.1291
321.3473,84.90623
317.0542,85.4769
314.9481,85.1508
313.166,84.58013
310.979,83.35725
309.764,82.13437
308.5489,80.5854
306.4429,79.36251
304.6608,78.79184
304.3368,77.56896
301.2587,77.56896
297.9376,80.9115
297.0466,83.92793
295.8316,83.92793
297.3706,81.2376
298.2616,79.36251
298.2616,77.81354
298.2616,76.01998
297.0466,74.1449
295.8316,72.67745
295.5076,71.45457
294.2925,70.47627
290.9714,70.47627
288.5414,70.47627
287.8934,70.47627
294.2925,70.47627
294.4545,69.66102
293.5635,66.97069
293.2395,65.0956
292.9965,62.97595
294.2115,60.8563
292.3485,60.2041
290.5664,59.87799
289.5944,58.41054
289.3514,55.96478
290.2424,54.0897
292.6725,53.19293
294.2115,53.19293
293.2395,51.64395
292.6725,49.52429
292.0245,47.97532
289.5944,47.40464
287.4884,49.52429
287.1643,52.29615
284.4913,53.51903
285.0583,52.54073
286.2733,51.31785
286.5973,49.85039
287.4884,48.30142
287.4884,46.42634
285.9493,44.95888
283.5192,43.0838
282.9522,41.53483
282.0612,39.74127
281.7372,37.62162
281.7372,35.74654
281.7372,34.52366
279.3071,34.19756
278.9831,33.30078
277.4441,32.404
275.338,33.95298
273.799,34.84976
275.338,36.96941
274.771,39.41517
273.556,39.41517
274.123,38.19229
274.123,36.64331
272.908,34.84976
272.0169,33.95298
269.2629,34.19756
267.7238,36.07264
266.2658,37.62162
267.4808,40.06737
265.9418,41.29025
268.0478,43.0838
266.5088,42.18703
264.7267,43.0838
262.6207,43.4099
261.0816,44.30668
262.2967,46.75244
261.0816,44.63278
258.9756,44.63278
257.7605,43.98058
255.8975,43.4099
254.1155,43.73601
252.2524,44.30668
254.6825,45.20346
252.9004,45.85566
251.6854,46.18176
250.4704,46.42634
249.8223,48.30142
249.8223,50.42107
247.7163,51.07327
