"V1","V2","V3"
"L",644.303,255.8646
"L",643.736,253.0927
"L",642.845,250.6469
"L",642.197,248.2012
"L",641.8729,246.4076
"L",638.8759,244.8587
"L",635.5548,242.4129
"L",633.3677,240.6193
"L",633.3677,238.1736
"L",630.9376,236.6246
"L",630.0466,235.4017
"L",627.6165,238.4182
"L",626.7255,241.5161
"L",625.1865,243.6358
"L",623.6474,244.288
"L",623.6474,243.6358
"L",624.8625,242.739
"L",625.1865,241.5161
"L",626.0775,238.4182
"L",627.0495,236.6246
"L",628.2646,235.4017
"L",629.7226,233.8528
"L",627.2925,231.7331
"L",625.5105,229.6134
"L",623.4044,231.7331
"L",622.4324,234.505
"L",620.6504,235.7278
"L",618.7873,235.9724
"L",616.6813,236.6246
"L",614.5752,238.1736
"L",613.6842,239.3965
"L",613.0362,238.4182
"L",614.2512,237.1953
"L",616.1142,236.2985
"L",617.8963,235.7278
"L",619.7593,235.0756
"L",621.2174,233.8528
"L",622.1894,231.407
"L",623.4044,230.1841
"L",618.7873,230.1841
"L",615.4662,230.5102
"L",614.2512,230.8363
"L",612.4691,230.1841
"L",608.824,229.6134
"L",609.7151,228.6351
"L",611.8211,228.9612
"L",614.2512,228.9612
"L",617.0053,228.9612
"L",619.1113,228.9612
"L",621.2174,228.9612
"L",622.7564,228.6351
"L",621.5414,226.8416
"L",620.9744,225.6187
"L",619.1113,224.3958
"L",617.5723,222.2762
"L",619.1113,221.9501
"L",621.5414,221.624
"L",623.0804,221.2979
"L",622.7564,220.075
"L",621.5414,218.8521
"L",620.6504,216.7325
"L",618.7873,214.9389
"L",617.3293,213.716
"L",613.9272,210.455
"L",611.4971,210.455
"L",609.391,210.1289
"L",607.609,210.455
"L",606.07,212.2486
"L",607.285,213.4715
"L",605.1789,212.9008
"L",603.6399,213.7976
"L",602.9919,216.5694
"L",602.1009,218.6891
"L",600.3188,219.5858
"L",600.8858,217.4662
"L",601.7768,215.9172
"L",601.7768,214.1237
"L",599.3468,213.7976
"L",598.1317,211.6779
"L",597.5647,209.8028
"L",594.2436,210.1289
"L",595.7017,208.5799
"L",595.4587,206.7864
"L",592.7046,205.8896
"L",591.1656,205.5635
"L",589.3835,205.5635
"L",586.6294,205.2374
"L",585.4144,204.3406
"L",582.6603,204.3406
"L",585.4144,202.7917
"L",587.5205,201.2427
"L",588.4115,200.3459
"L",589.9505,202.7917
"L",591.1656,202.7917
"L",593.9196,202.4656
"L",594.4867,203.1178
"L",595.7017,204.6667
"L",597.2407,206.1342
"L",600.5618,206.1342
"L",600.5618,202.4656
"L",601.5338,200.3459
"L",601.5338,197.574
"L",600.3188,195.7805
"L",599.9948,194.8837
"L",599.9948,194.313
"L",599.6708,192.438
"L",598.4558,192.1934
"L",596.6737,191.8673
"L",593.5956,192.1934
"L",591.1656,193.0902
"L",589.3835,193.9869
"L",586.9534,194.313
"L",585.0904,193.9869
"L",582.6603,193.4163
"L",580.8783,192.438
"L",584.5234,192.438
"L",587.1965,192.7641
"L",588.7355,192.1934
"L",591.1656,191.2151
"L",594.2436,190.6444
"L",596.0257,189.4215
"L",595.7017,188.1986
"L",595.4587,186.9758
"L",596.0257,185.4268
"L",593.5956,183.8778
"L",592.3806,182.6549
"L",589.9505,181.7582
"L",586.3054,182.4104
"L",582.3363,182.4104
"L",580.5543,182.981
"L",576.0182,182.981
"L",574.1551,182.4104
"L",572.6161,180.8614
"L",572.049,179.3124
"L",568.728,179.3124
"L",567.5129,177.5188
"L",566.5409,174.4209
"L",566.5409,172.6273
"L",568.566,173.8502
"L",569.214,175.9699
"L",572.211,175.6438
"L",573.7501,176.296
"L",577.3952,175.9699
"L",580.1493,175.6438
"L",582.5793,175.3992
"L",584.6854,175.0731
"L",585.9004,173.8502
"L",586.5484,171.9751
"L",585.5764,170.7523
"L",584.3614,170.5077
"L",582.5793,171.4045
"L",580.7163,170.7523
"L",579.5012,169.5294
"L",577.7192,168.6326
"L",576.5042,168.3065
"L",574.6411,167.7358
"L",572.8591,166.839
"L",570.753,165.2901
"L",572.535,164.3933
"L",573.7501,166.1868
"L",575.2891,166.839
"L",577.3952,167.4097
"L",579.2582,168.0619
"L",580.4733,168.9587
"L",582.5793,169.2848
"L",585.3334,168.6326
"L",587.7635,167.4097
"L",588.6545,169.2848
"L",590.4365,171.7306
"L",593.8386,171.0784
"L",596.8357,170.5077
"L",598.0507,170.1816
"L",599.9138,168.9587
"L",601.3718,167.4097
"L",602.3439,165.8607
"L",601.1288,164.3933
"L",600.8048,162.5182
"L",602.5869,162.1921
"L",604.7739,162.1921
"L",606.88,163.7411
"L",608.095,163.7411
"L",609.8771,164.3933
"L",612.9551,164.6379
"L",615.0612,164.964
"L",617.1673,166.5129
"L",619.0303,166.1868
"L",621.7844,165.8607
"L",624.2145,166.839
"L",626.8875,167.4097
"L",629.0746,167.4097
"L",631.1806,167.4097
"L",633.6107,168.0619
"L",636.9318,168.6326
"L",638.1468,165.2901
"L",637.2558,164.3933
"L",636.6078,162.1921
"L",634.8257,161.9475
"L",633.2867,161.2953
"L",632.3957,160.3986
"L",631.7477,158.5235
"L",632.0717,156.4038
"L",633.2867,153.9581
"L",633.9347,152.4091
"L",633.9347,150.2894
"L",634.8257,148.4959
"L",635.1497,146.2947
"L",634.5017,143.2783
"L",633.2867,141.1586
"L",632.3957,139.2835
"L",629.9656,138.0607
"L",628.4266,136.8378
"L",626.3205,136.2671
"L",623.8904,135.941
"L",622.3514,134.7181
"L",619.5973,133.1691
"L",616.6002,132.5985
"L",613.5222,132.2724
"L",612.0641,131.0495
"L",610.2011,129.1744
"L",608.662,127.707
"L",607.204,126.158
"L",605.989,124.9351
"L",605.665,122.8154
"L",604.7739,119.3914
"L",605.665,117.2717
"L",606.232,115.4782
"L",606.556,113.6031
"L",603.2349,113.9292
"L",599.9138,115.1521
"L",598.3748,115.4782
"L",596.5117,116.0489
"L",593.5146,116.375
"L",591.9756,115.4782
"L",589.2215,112.0541
"L",587.1155,111.1573
"L",585.3334,109.6084
"L",583.1463,108.3855
"L",581.9313,107.4887
"L",579.8253,106.5919
"L",578.6102,105.9397
"L",576.5042,105.3691
"L",574.6411,105.043
"L",570.753,104.1462
"L",568.323,103.494
"L",565.8929,103.2494
"L",563.7058,101.7004
"L",562.2478,99.82534
"L",561.2758,98.03178
"L",559.8177,97.135
"L",557.6307,94.36315
"L",555.5246,92.81417
"L",553.0945,93.46637
"L",551.3125,94.68925
"L",548.8824,94.93383
"L",547.0194,95.58603
"L",544.9133,96.8089
"L",542.4832,96.8089
"L",539.4052,97.37958
"L",536.0841,98.92856
"L",533.654,100.1514
"L",526.0398,101.3743
"L",523.0427,102.0265
"L",519.9646,102.2711
"L",517.5346,101.7004
"L",515.1045,100.4775
"L",512.9984,99.58076
"L",509.3533,98.60246
"L",506.3563,98.60246
"L",502.9542,98.35788
"L",499.6331,98.60246
"L",496.879,97.37958
"L",493.2339,96.1567
"L",491.1279,95.58603
"L",489.6698,95.58603
"L",487.8878,94.93383
"L",486.0247,94.36315
"L",485.7817,92.2435
"L",484.5667,90.04232
"L",483.0276,89.47164
"L",481.4886,91.5913
"L",480.2736,92.81417
"L",478.1675,94.68925
"L",476.0614,95.25993
"L",475.7374,97.37958
"L",477.5195,99.82534
"L",477.8435,101.3743
"L",476.0614,100.8036
"L",475.0894,99.58076
"L",473.8744,98.03178
"L",472.4164,98.35788
"L",472.4164,100.8036
"L",472.4164,101.3743
"L",471.4443,101.7004
"L",469.9863,101.7004
"L",469.6623,100.4775
"L",469.6623,98.92856
"L",469.6623,97.37958
"L",469.3383,96.1567
"L",467.7992,96.8089
"L",467.2322,98.92856
"L",466.9082,101.0482
"L",465.6932,100.8036
"L",465.3692,99.25466
"L",465.3692,97.70568
"L",464.1541,96.1567
"L",462.0481,96.1567
"L",461.7241,97.70568
"L",461.7241,100.4775
"L",461.4811,102.2711
"L",461.4811,103.2494
"L",459.942,102.2711
"L",459.051,102.2711
"L",458.079,102.2711
"L",458.403,100.8036
"L",459.618,99.25466
"L",460.509,98.03178
"L",460.266,97.135
"L",459.618,95.58603
"L",457.5119,95.91213
"L",455.0819,97.70568
"L",453.2188,98.92856
"L",451.7608,99.82534
"L",449.3307,101.0482
"L",447.4677,102.5972
"L",446.5767,104.4723
"L",446.9007,106.2658
"L",446.2526,105.3691
"L",445.6856,104.1462
"L",444.1466,105.6952
"L",442.6075,106.5919
"L",441.7165,109.3638
"L",442.2835,109.9345
"L",440.8255,107.8148
"L",438.6384,108.1409
"L",435.3173,109.9345
"L",439.2865,107.4887
"L",440.8255,105.6952
"L",442.0405,104.1462
"L",444.4706,102.0265
"L",445.6856,100.4775
"L",446.5767,98.35788
"L",445.6856,96.4828
