"V1","V2","V3","V4"
547019.4,95586.03,544913.3,96808.9
544913.3,96808.9,542483.2,96808.9
542483.2,96808.9,539405.2,97379.58
539405.2,97379.58,536084.1,98928.56
536084.1,98928.56,533654,100151.4
533654,100151.4,526039.8,101374.3
526039.8,101374.3,523042.7,102026.5
523042.7,102026.5,519964.6,102271.1
519964.6,102271.1,517534.6,101700.4
517534.6,101700.4,515104.5,100477.5
515104.5,100477.5,512998.4,99580.76
512998.4,99580.76,509353.3,98602.46
509353.3,98602.46,506356.3,98602.46
506356.3,98602.46,502954.2,98357.88
502954.2,98357.88,499633.1,98602.46
499633.1,98602.46,496879,97379.58
496879,97379.58,493233.9,96156.7
493233.9,96156.7,491127.9,95586.03
491127.9,95586.03,489669.8,95586.03
489669.8,95586.03,487887.8,94933.83
487887.8,94933.83,486024.7,94363.15
486024.7,94363.15,485781.7,92243.5
485781.7,92243.5,484566.7,90042.32
484566.7,90042.32,483027.6,89471.64
483027.6,89471.64,481488.6,91591.3
481488.6,91591.3,480273.6,92814.17
480273.6,92814.17,478167.5,94689.25
478167.5,94689.25,476061.4,95259.93
476061.4,95259.93,475737.4,97379.58
475737.4,97379.58,477519.5,99825.34
477519.5,99825.34,477843.5,101374.3
477843.5,101374.3,476061.4,100803.6
476061.4,100803.6,475089.4,99580.76
475089.4,99580.76,473874.4,98031.78
473874.4,98031.78,472416.4,98357.88
472416.4,98357.88,472416.4,100803.6
472416.4,100803.6,472416.4,101374.3
472416.4,101374.3,471444.3,101700.4
471444.3,101700.4,469986.3,101700.4
469986.3,101700.4,469662.3,100477.5
469662.3,100477.5,469662.3,98928.56
469662.3,98928.56,469662.3,97379.58
469662.3,97379.58,469338.3,96156.7
469338.3,96156.7,467799.2,96808.9
467799.2,96808.9,467232.2,98928.56
467232.2,98928.56,466908.2,101048.2
466908.2,101048.2,465693.2,100803.6
465693.2,100803.6,465369.2,99254.66
465369.2,99254.66,465369.2,97705.68
465369.2,97705.68,464154.1,96156.7
464154.1,96156.7,462048.1,96156.7
462048.1,96156.7,461724.1,97705.68
461724.1,97705.68,461724.1,100477.5
461724.1,100477.5,461481.1,102271.1
461481.1,102271.1,461481.1,103249.4
461481.1,103249.4,459942,102271.1
459942,102271.1,459051,102271.1
459051,102271.1,458079,102271.1
458079,102271.1,458403,100803.6
458403,100803.6,459618,99254.66
459618,99254.66,460509,98031.78
460509,98031.78,460266,97135
460266,97135,459618,95586.03
459618,95586.03,457511.9,95912.13
457511.9,95912.13,455081.9,97705.68
455081.9,97705.68,453218.8,98928.56
453218.8,98928.56,451760.8,99825.34
451760.8,99825.34,449330.7,101048.2
449330.7,101048.2,447467.7,102597.2
447467.7,102597.2,446576.7,104472.3
446576.7,104472.3,446900.7,106265.8
446900.7,106265.8,446252.6,105369.1
446252.6,105369.1,445685.6,104146.2
445685.6,104146.2,444146.6,105695.2
444146.6,105695.2,442607.5,106591.9
442607.5,106591.9,441716.5,109363.8
441716.5,109363.8,442283.5,109934.5
442283.5,109934.5,440825.5,107814.8
440825.5,107814.8,438638.4,108140.9
438638.4,108140.9,435317.3,109934.5
435317.3,109934.5,439286.5,107488.7
439286.5,107488.7,440825.5,105695.2
440825.5,105695.2,442040.5,104146.2
442040.5,104146.2,444470.6,102026.5
444470.6,102026.5,445685.6,100477.5
445685.6,100477.5,446576.7,98357.88
446576.7,98357.88,445685.6,96482.8
445685.6,96482.8,443822.6,95912.13
443822.6,95912.13,441716.5,94689.25
441716.5,94689.25,440501.5,97705.68
440501.5,97705.68,440177.5,95586.03
440177.5,95586.03,439286.5,93710.95
439286.5,93710.95,436856.4,93140.27
436856.4,93140.27,434750.3,92814.17
434750.3,92814.17,432320.3,92243.5
432320.3,92243.5,431348.2,90368.42
431348.2,90368.42,430457.2,88574.86
430457.2,88574.86,429242.2,87351.98
429242.2,87351.98,426812.1,88819.44
426812.1,88819.44,423815,89471.64
423815,89471.64,421628,90368.42
421628,90368.42,418954.9,90042.32
418954.9,90042.32,416524.8,88819.44
416524.8,88819.44,414985.8,87922.66
414985.8,87922.66,413122.7,88819.44
413122.7,88819.44,409234.6,88819.44
409234.6,88819.44,405832.6,87351.98
405832.6,87351.98,404050.5,85803
404050.5,85803,402511.5,84254.03
