"x","y"
181.6185,209.1506
180.1605,207.9277
178.2974,206.7049
176.5154,206.3788
174.9763,206.7049
175.8673,205.1559
177.9734,204.8298
179.1884,203.6069
180.7275,203.0362
181.0515,200.9166
181.6185,200.9166
183.1575,203.0362
184.6966,203.3623
185.2636,203.933
187.6937,203.6069
189.5567,203.0362
191.3388,202.7101
192.8778,202.1395
193.7688,201.4873
194.9839,201.1612
197.1709,201.8134
198.953,202.384
200.492,203.0362
200.492,206.7049
200.168,208.2538
199.844,210.0474
201.383,210.0474
201.059,207.6016
201.059,205.482
202.031,204.2591
203.4891,203.0362
201.059,202.384
199.601,201.8134
197.1709,201.1612
194.7408,199.6937
192.5538,199.6937
191.9868,200.9166
190.1237,200.5905
189.5567,199.3676
188.0177,199.6937
187.1266,201.4873
185.5876,200.5905
186.2356,198.7154
186.8026,198.7154
188.3417,198.1447
188.3417,196.5957
188.3417,194.8022
189.2327,193.2532
191.9868,192.601
193.5258,191.3781
195.3079,190.4814
196.5229,190.4814
197.7379,190.1553
199.844,192.601
200.816,193.5793
202.2741,194.15
202.9221,194.8022
205.6761,194.8022
208.1062,194.8022
209.8883,195.699
211.1033,195.699
211.9943,196.0251
213.2093,196.2696
213.8574,198.1447
214.1814,200.2644
214.1814,201.8134
215.6394,203.0362
217.1785,203.933
218.7175,203.933
220.8236,203.933
222.3626,204.2591
223.9016,204.2591
226.0077,204.2591
227.5467,204.2591
228.4378,204.2591
229.3288,203.933
230.8678,204.2591
232.0829,205.1559
232.0829,207.9277
231.7588,210.3735
232.9739,210.0474
233.2979,208.2538
234.1889,207.031
235.728,208.2538
236.052,208.4984
236.943,209.7213
237.51,210.3735
239.049,210.3735
238.158,209.4767
237.51,207.9277
237.51,205.8081
238.482,204.2591
239.9401,203.933
240.9121,203.0362
240.5881,202.384
239.3731,202.7101
238.158,202.7101
236.943,201.8134
238.158,199.9383
238.482,198.7154
240.5881,197.4925
242.1271,196.2696
243.9092,197.2479
245.7722,197.2479
248.2023,197.2479
249.4173,197.2479
250.3083,195.699
251.5234,194.8022
253.9534,194.4761
256.0595,194.4761
256.3835,197.8186
258.4896,197.8186
257.9226,195.3729
255.4925,194.4761
253.6294,193.5793
251.8474,192.9271
250.6324,192.0303
248.4453,192.0303
246.6632,192.9271
245.1242,193.2532
243.9092,192.3564
243.3422,190.8075
241.4791,190.1553
241.4791,188.9324
242.1271,187.4649
241.4791,184.6931
241.4791,184.0409
242.6941,183.7963
244.2332,183.4702
246.0152,182.5734
247.8783,181.9212
249.0933,181.9212
250.6324,182.2473
250.6324,184.367
252.4144,185.5898
254.5205,185.2637
256.7075,184.367
258.4896,184.367
260.3526,184.6931
261.5677,184.6931
262.4587,184.6931
262.4587,185.5898
263.3497,188.0356
264.2407,188.6878
265.7798,188.6878
266.9948,188.9324
268.8578,188.9324
270.3159,189.2585
271.8549,189.9107
273.394,190.1553
272.746,188.6878
274.609,187.4649
276.148,186.242
276.3911,185.1822
278.2541,183.9593
277.9301,182.4104
278.2541,180.9429
278.8211,179.3939
278.8211,178.171
278.8211,177.2743
279.7931,176.296
280.6842,175.3992
281.5752,174.5024
282.4662,173.6056
283.6813,173.2795
285.8683,173.2795
287.3263,172.3828
289.1894,169.6109
291.2955,168.0619
291.6195,166.2684
293.4015,165.0455
295.5886,164.7194
297.6946,164.3933
299.4767,164.3933
301.6637,163.8226
303.7698,163.8226
306.1999,162.8443
307.9819,162.8443
309.845,162.8443
311.627,163.1704
315.0291,163.4965
316.4871,164.0672
317.4592,164.7194
317.4592,166.5129
318.6742,169.2848
319.8892,171.1599
321.6713,172.6273
323.5343,175.3992
325.3164,175.7253
327.4224,177.5188
329.6095,178.171
331.7155,180.2907
331.7155,181.8397
332.0396,182.1658
334.4696,180.2907
336.8997,179.9646
338.6817,180.6168
341.1118,180.6168
342.3268,181.8397
343.5419,182.1658
344.4329,182.7365
345.9719,183.3887
347.511,183.6332
349.05,183.9593
349.617,184.8561
350.8321,186.4051
353.5861,188.2802
