"V1","V2","V3","V4"
265455.8,313258.3,264240.7,312361.5
264240.7,312361.5,262701.7,311383.2
262701.7,311383.2,261810.7,310160.3
261810.7,310160.3,261486.7,309589.7
261486.7,309589.7,260271.6,308692.9
260271.6,308692.9,259056.6,307714.6
259056.6,307714.6,258165.6,306491.7
258165.6,306491.7,257841.6,304698.1
257841.6,304698.1,256950.5,303801.4
256950.5,303801.4,255411.5,303149.2
255411.5,303149.2,255978.5,301355.6
255978.5,301355.6,256626.5,299154.4
256626.5,299154.4,258165.6,297034.8
258165.6,297034.8,258732.6,295811.9
258732.6,295811.9,259947.6,293692.2
259947.6,293692.2,260271.6,292143.3
260271.6,292143.3,261810.7,292795.5
261810.7,292795.5,264483.7,292469.4
264483.7,292469.4,266022.8,292795.5
266022.8,292795.5,267237.8,294589
267237.8,294589,269343.9,295241.2
269343.9,295241.2,268452.8,294018.3
268452.8,294018.3,266913.8,293366.1
266913.8,293366.1,266346.8,292469.4
266346.8,292469.4,265131.7,291572.6
265131.7,291572.6,264240.7,291572.6
264240.7,291572.6,262701.7,291246.5
262701.7,291246.5,261486.7,291246.5
261486.7,291246.5,261162.6,287985.5
261162.6,287985.5,260595.6,286191.9
260595.6,286191.9,259623.6,284969.1
259623.6,284969.1,258408.6,283420.1
258408.6,283420.1,258408.6,281871.1
258408.6,281871.1,258408.6,280403.6
258408.6,280403.6,257517.5,278528.6
257517.5,278528.6,257841.6,276735
257841.6,276735,257841.6,274859.9
257841.6,274859.9,256626.5,273637
256626.5,273637,256626.5,272088.1
256626.5,272088.1,255735.5,270294.5
255735.5,270294.5,255087.5,268419.4
255087.5,268419.4,254196.5,267196.6
254196.5,267196.6,252090.4,266625.9
252090.4,266625.9,251442.4,265729.1
251442.4,265729.1,250227.3,263854
250227.3,263854,249012.3,262060.5
249012.3,262060.5,248445.3,261082.2
248445.3,261082.2,246906.3,260837.6
246906.3,260837.6,245367.2,259288.6
245367.2,259288.6,243261.2,258636.4
243261.2,258636.4,242613.1,258391.8
242613.1,258391.8,240831.1,258065.7
240831.1,258065.7,239616.1,257739.6
239616.1,257739.6,237510,257739.6
237510,257739.6,236538,256190.7
236538,256190.7,235079.9,254723.2
235079.9,254723.2,233540.9,253744.9
233540.9,253744.9,233216.9,252848.1
233216.9,252848.1,231434.8,252277.4
231434.8,252277.4,231434.8,251951.3
231434.8,251951.3,229895.8,250728.5
229895.8,250728.5,229004.8,249831.7
229004.8,249831.7,226817.7,249179.5
226817.7,249179.5,224711.7,249179.5
224711.7,249179.5,222929.6,250076.3
222929.6,250076.3,221390.6,250076.3
221390.6,250076.3,219851.5,249831.7
219851.5,249831.7,218312.5,249505.6
218312.5,249505.6,215882.4,247059.8
215882.4,247059.8,215882.4,244614.1
215882.4,244614.1,217421.5,243717.3
217421.5,243717.3,216854.4,243717.3
216854.4,243717.3,214991.4,244940.2
214991.4,244940.2,214424.4,246733.7
214424.4,246733.7,214100.4,247059.8
214100.4,247059.8,213209.3,245510.9
213209.3,245510.9,212237.3,243961.9
212237.3,243961.9,210455.3,243065.1
210455.3,243065.1,209240.2,241271.5
209240.2,241271.5,207134.2,240945.4
207134.2,240945.4,205271.1,239722.6
205271.1,239722.6,206162.2,237276.8
206162.2,237276.8,204056.1,236380
204056.1,236380,202517.1,237602.9
202517.1,237602.9,201059,238499.7
201059,238499.7,201059,236950.7
201059,236950.7,200411,236380
200411,236380,198629,235727.8
198629,235727.8,197089.9,235157.2
197089.9,235157.2,196441.9,235401.7
196441.9,235401.7,196198.9,237276.8
196198.9,237276.8,193768.8,237847.5
193768.8,237847.5,191662.8,238173.6
191662.8,238173.6,190447.7,238173.6
190447.7,238173.6,189232.7,236950.7
189232.7,236950.7,189232.7,234505
189232.7,234505,188908.7,232956
188908.7,232956,187450.6,231733.1
187450.6,231733.1,186478.6,231488.5
186478.6,231488.5,184696.6,230836.3
184696.6,230836.3,182833.5,229939.5
182833.5,229939.5,181375.5,229287.3
181375.5,229287.3,179512.4,227819.9
179512.4,227819.9,177406.4,227167.7
177406.4,227167.7,175543.3,226841.6
175543.3,226841.6,173113.3,226597
173113.3,226597,173113.3,225048
173113.3,225048,173437.3,223825.2
173437.3,223825.2,173113.3,222276.2
173113.3,222276.2,171655.2,221379.4
171655.2,221379.4,171898.2,220482.6
